Market,DealerCode,MLI,Month,Qty,Revenue
HU,D00132,1132,1,33,3300
NL,D00133,1133,2,34,3400
DE,D00134,1134,3,35,3500
FR,D00135,1135,4,36,3600
HU,D00136,1136,5,37,3700
NL,D00137,1137,6,38,3800
DE,D00138,1138,7,39,3900
FR,D00139,1139,8,40,4000
HU,D00140,1140,9,41,4100
NL,D00141,1141,10,42,4200
DE,D00142,1142,11,43,4300
FR,D00143,1143,12,44,4400
HU,D00144,1144,1,45,4500
NL,D00145,1145,2,46,4600
DE,D00146,1146,3,47,4700
FR,D00147,1147,4,48,4800
HU,D00148,1148,5,49,4900
NL,D00149,1149,6,50,5000
DE,D00150,1150,7,1,100
FR,D00151,1151,8,2,200
HU,D00152,1152,9,3,300
NL,D00153,1153,10,4,400
DE,D00154,1154,11,5,500
FR,D00155,1155,12,6,600
HU,D00156,1156,1,7,700
NL,D00157,1157,2,8,800
DE,D00158,1158,3,9,900
FR,D00159,1159,4,10,1000
HU,D00160,1160,5,11,1100
NL,D00161,1161,6,12,1200
DE,D00162,1162,7,13,1300
FR,D00163,1163,8,14,1400
HU,D00164,1164,9,15,1500
NL,D00165,1165,10,16,1600
DE,D00166,1166,11,17,1700
FR,D00167,1167,12,18,1800
HU,D00168,1168,1,19,1900
NL,D00169,1169,2,20,2000
DE,D00170,1170,3,21,2100
FR,D00171,1171,4,22,2200
HU,D00172,1172,5,23,2300
NL,D00173,1173,6,24,2400
DE,D00174,1174,7,25,2500
FR,D00175,1175,8,26,2600
HU,D00176,1176,9,27,2700
NL,D00177,1177,10,28,2800
DE,D00178,1178,11,29,2900
FR,D00179,1179,12,30,3000
HU,D00180,1180,1,31,3100
NL,D00181,1181,2,32,3200
DE,D00182,1182,3,33,3300
FR,D00183,1183,4,34,3400
HU,D00184,1184,5,35,3500
NL,D00185,1185,6,36,3600
DE,D00186,1186,7,37,3700
FR,D00187,1187,8,38,3800
HU,D00188,1188,9,39,3900
NL,D00189,1189,10,40,4000
DE,D00190,1190,11,41,4100
FR,D00191,1191,12,42,4200
HU,D00192,1192,1,43,4300
NL,D00193,1193,2,44,4400
DE,D00194,1194,3,45,4500
FR,D00195,1195,4,46,4600
HU,D00196,1196,5,47,4700
NL,D00197,1197,6,48,4800
DE,D00198,1198,7,49,4900
FR,D00199,1199,8,50,5000
HU,D00200,1200,9,1,100
NL,D00201,1201,10,2,200
DE,D00202,1202,11,3,300
FR,D00203,1203,12,4,400
HU,D00204,1204,1,5,500
NL,D00205,1205,2,6,600
DE,D00206,1206,3,7,700
FR,D00207,1207,4,8,800
HU,D00208,1208,5,9,900
NL,D00209,1209,6,10,1000
DE,D00210,1210,7,11,1100
FR,D00211,1211,8,12,1200
HU,D00212,1212,9,13,1300
NL,D00213,1213,10,14,1400
DE,D00214,1214,11,15,1500
FR,D00215,1215,12,16,1600
HU,D00216,1216,1,17,1700
NL,D00217,1217,2,18,1800
DE,D00218,1218,3,19,1900
FR,D00219,1219,4,20,2000
HU,D00220,1220,5,21,2100
NL,D00221,1221,6,22,2200
DE,D00222,1222,7,23,2300
FR,D00223,1223,8,24,2400
HU,D00224,1224,9,25,2500
NL,D00225,1225,10,26,2600
DE,D00226,1226,11,27,2700
FR,D00227,1227,12,28,2800
HU,D00228,1228,1,29,2900
NL,D00229,1229,2,30,3000
DE,D00230,1230,3,31,3100
FR,D00231,1231,4,32,3200
HU,D00232,1232,5,33,3300
NL,D00233,1233,6,34,3400
DE,D00234,1234,7,35,3500
FR,D00235,1235,8,36,3600
HU,D00236,1236,9,37,3700
NL,D00237,1237,10,38,3800
DE,D00238,1238,11,39,3900
FR,D00239,1239,12,40,4000
HU,D00240,1240,1,41,4100
NL,D00241,1241,2,42,4200
DE,D00242,1242,3,43,4300
FR,D00243,1243,4,44,4400
HU,D00244,1244,5,45,4500
NL,D00245,1245,6,46,4600
DE,D00246,1246,7,47,4700
FR,D00247,1247,8,48,4800
HU,D00248,1248,9,49,4900
NL,D00249,1249,10,50,5000
DE,D00250,1250,11,1,100
FR,D00251,1251,12,2,200
HU,D00252,1252,1,3,300
NL,D00253,1253,2,4,400
DE,D00254,1254,3,5,500
FR,D00255,1255,4,6,600
HU,D00256,1256,5,7,700
NL,D00257,1257,6,8,800
DE,D00258,1258,7,9,900
FR,D00259,1259,8,10,1000
HU,D00260,1260,9,11,1100
NL,D00261,1261,10,12,1200
DE,D00262,1262,11,13,1300
FR,D00263,1263,12,14,1400
HU,D00264,1264,1,15,1500
NL,D00265,1265,2,16,1600
DE,D00266,1266,3,17,1700
FR,D00267,1267,4,18,1800
HU,D00268,1268,5,19,1900
NL,D00269,1269,6,20,2000
DE,D00270,1270,7,21,2100
FR,D00271,1271,8,22,2200
HU,D00272,1272,9,23,2300
NL,D00273,1273,10,24,2400
DE,D00274,1274,11,25,2500
FR,D00275,1275,12,26,2600
HU,D00276,1276,1,27,2700
NL,D00277,1277,2,28,2800
DE,D00278,1278,3,29,2900
FR,D00279,1279,4,30,3000
HU,D00280,1280,5,31,3100
NL,D00281,1281,6,32,3200
DE,D00282,1282,7,33,3300
FR,D00283,1283,8,34,3400
HU,D00284,1284,9,35,3500
NL,D00285,1285,10,36,3600
DE,D00286,1286,11,37,3700
FR,D00287,1287,12,38,3800
HU,D00288,1288,1,39,3900
NL,D00289,1289,2,40,4000
DE,D00290,1290,3,41,4100
FR,D00291,1291,4,42,4200
HU,D00292,1292,5,43,4300
NL,D00293,1293,6,44,4400
DE,D00294,1294,7,45,4500
FR,D00295,1295,8,46,4600
HU,D00296,1296,9,47,4700
NL,D00297,1297,10,48,4800
DE,D00298,1298,11,49,4900
FR,D00299,1299,12,50,5000
HU,D00300,1300,1,1,100
NL,D00301,1301,2,2,200
DE,D00302,1302,3,3,300
FR,D00303,1303,4,4,400
HU,D00304,1304,5,5,500
NL,D00305,1305,6,6,600
DE,D00306,1306,7,7,700
FR,D00307,1307,8,8,800
HU,D00308,1308,9,9,900
NL,D00309,1309,10,10,1000
DE,D00310,1310,11,11,1100
FR,D00311,1311,12,12,1200
HU,D00312,1312,1,13,1300
NL,D00313,1313,2,14,1400
DE,D00314,1314,3,15,1500
FR,D00315,1315,4,16,1600
HU,D00316,1316,5,17,1700
NL,D00317,1317,6,18,1800
DE,D00318,1318,7,19,1900
FR,D00319,1319,8,20,2000
HU,D00320,1320,9,21,2100
NL,D00321,1321,10,22,2200
DE,D00322,1322,11,23,2300
FR,D00323,1323,12,24,2400
HU,D00324,1324,1,25,2500
NL,D00325,1325,2,26,2600
DE,D00326,1326,3,27,2700
FR,D00327,1327,4,28,2800
HU,D00328,1328,5,29,2900
NL,D00329,1329,6,30,3000
DE,D00330,1330,7,31,3100
FR,D00331,1331,8,32,3200
HU,D00332,1332,9,33,3300
NL,D00333,1333,10,34,3400
DE,D00334,1334,11,35,3500
FR,D00335,1335,12,36,3600
HU,D00336,1336,1,37,3700
NL,D00337,1337,2,38,3800
DE,D00338,1338,3,39,3900
FR,D00339,1339,4,40,4000
HU,D00340,1340,5,41,4100
NL,D00341,1341,6,42,4200
DE,D00342,1342,7,43,4300
FR,D00343,1343,8,44,4400
HU,D00344,1344,9,45,4500
NL,D00345,1345,10,46,4600
DE,D00346,1346,11,47,4700
FR,D00347,1347,12,48,4800
HU,D00348,1348,1,49,4900
NL,D00349,1349,2,50,5000
DE,D00350,1350,3,1,100
FR,D00351,1351,4,2,200
HU,D00352,1352,5,3,300
NL,D00353,1353,6,4,400
DE,D00354,1354,7,5,500
FR,D00355,1355,8,6,600
HU,D00356,1356,9,7,700
NL,D00357,1357,10,8,800
DE,D00358,1358,11,9,900
FR,D00359,1359,12,10,1000
HU,D00360,1360,1,11,1100
NL,D00361,1361,2,12,1200
DE,D00362,1362,3,13,1300
FR,D00363,1363,4,14,1400
HU,D00364,1364,5,15,1500
NL,D00365,1365,6,16,1600
DE,D00366,1366,7,17,1700
FR,D00367,1367,8,18,1800
HU,D00368,1368,9,19,1900
NL,D00369,1369,10,20,2000
DE,D00370,1370,11,21,2100
FR,D00371,1371,12,22,2200
HU,D00372,1372,1,23,2300
NL,D00373,1373,2,24,2400
DE,D00374,1374,3,25,2500
FR,D00375,1375,4,26,2600
HU,D00376,1376,5,27,2700
NL,D00377,1377,6,28,2800
DE,D00378,1378,7,29,2900
FR,D00379,1379,8,30,3000
HU,D00380,1380,9,31,3100
NL,D00381,1381,10,32,3200
DE,D00382,1382,11,33,3300
FR,D00383,1383,12,34,3400
HU,D00384,1384,1,35,3500
NL,D00385,1385,2,36,3600
DE,D00386,1386,3,37,3700
FR,D00387,1387,4,38,3800
HU,D00388,1388,5,39,3900
NL,D00389,1389,6,40,4000
DE,D00390,1390,7,41,4100
FR,D00391,1391,8,42,4200
HU,D00392,1392,9,43,4300
NL,D00393,1393,10,44,4400
DE,D00394,1394,11,45,4500
FR,D00395,1395,12,46,4600
HU,D00396,1396,1,47,4700
NL,D00397,1397,2,48,4800
DE,D00398,1398,3,49,4900
FR,D00399,1399,4,50,5000
HU,D00400,1400,5,1,100
NL,D00401,1401,6,2,200
DE,D00402,1402,7,3,300
FR,D00403,1403,8,4,400
HU,D00404,1404,9,5,500
NL,D00405,1405,10,6,600
DE,D00406,1406,11,7,700
FR,D00407,1407,12,8,800
HU,D00408,1408,1,9,900
NL,D00409,1409,2,10,1000
DE,D00410,1410,3,11,1100
FR,D00411,1411,4,12,1200
HU,D00412,1412,5,13,1300
NL,D00413,1413,6,14,1400
DE,D00414,1414,7,15,1500
FR,D00415,1415,8,16,1600
HU,D00416,1416,9,17,1700
NL,D00417,1417,10,18,1800
DE,D00418,1418,11,19,1900
FR,D00419,1419,12,20,2000
HU,D00420,1420,1,21,2100
NL,D00421,1421,2,22,2200
DE,D00422,1422,3,23,2300
FR,D00423,1423,4,24,2400
HU,D00424,1424,5,25,2500
NL,D00425,1425,6,26,2600
DE,D00426,1426,7,27,2700
FR,D00427,1427,8,28,2800
HU,D00428,1428,9,29,2900
NL,D00429,1429,10,30,3000
DE,D00430,1430,11,31,3100
FR,D00431,1431,12,32,3200
HU,D00432,1432,1,33,3300
NL,D00433,1433,2,34,3400
DE,D00434,1434,3,35,3500
FR,D00435,1435,4,36,3600
HU,D00436,1436,5,37,3700
NL,D00437,1437,6,38,3800
DE,D00438,1438,7,39,3900
FR,D00439,1439,8,40,4000
HU,D00440,1440,9,41,4100
NL,D00441,1441,10,42,4200
DE,D00442,1442,11,43,4300
FR,D00443,1443,12,44,4400
HU,D00444,1444,1,45,4500
NL,D00445,1445,2,46,4600
DE,D00446,1446,3,47,4700
FR,D00447,1447,4,48,4800
HU,D00448,1448,5,49,4900
NL,D00449,1449,6,50,5000
DE,D00450,1450,7,1,100
FR,D00451,1451,8,2,200
HU,D00452,1452,9,3,300
NL,D00453,1453,10,4,400
DE,D00454,1454,11,5,500
FR,D00455,1455,12,6,600
HU,D00456,1456,1,7,700
NL,D00457,1457,2,8,800
DE,D00458,1458,3,9,900
FR,D00459,1459,4,10,1000
HU,D00460,1460,5,11,1100
NL,D00461,1461,6,12,1200
DE,D00462,1462,7,13,1300
FR,D00463,1463,8,14,1400
HU,D00464,1464,9,15,1500
NL,D00465,1465,10,16,1600
DE,D00466,1466,11,17,1700
FR,D00467,1467,12,18,1800
HU,D00468,1468,1,19,1900
NL,D00469,1469,2,20,2000
DE,D00470,1470,3,21,2100
FR,D00471,1471,4,22,2200
HU,D00472,1472,5,23,2300
NL,D00473,1473,6,24,2400
DE,D00474,1474,7,25,2500
FR,D00475,1475,8,26,2600
HU,D00476,1476,9,27,2700
NL,D00477,1477,10,28,2800
DE,D00478,1478,11,29,2900
FR,D00479,1479,12,30,3000
HU,D00480,1480,1,31,3100
NL,D00481,1481,2,32,3200
DE,D00482,1482,3,33,3300
FR,D00483,1483,4,34,3400
HU,D00484,1484,5,35,3500
NL,D00485,1485,6,36,3600
DE,D00486,1486,7,37,3700
FR,D00487,1487,8,38,3800
HU,D00488,1488,9,39,3900
NL,D00489,1489,10,40,4000
DE,D00490,1490,11,41,4100
FR,D00491,1491,12,42,4200
HU,D00492,1492,1,43,4300
NL,D00493,1493,2,44,4400
DE,D00494,1494,3,45,4500
FR,D00495,1495,4,46,4600
HU,D00496,1496,5,47,4700
NL,D00497,1497,6,48,4800
DE,D00498,1498,7,49,4900
FR,D00499,1499,8,50,5000
HU,D00500,1500,9,1,100
NL,D00501,1501,10,2,200
DE,D00502,1502,11,3,300
FR,D00503,1503,12,4,400
HU,D00504,1504,1,5,500
NL,D00505,1505,2,6,600
DE,D00506,1506,3,7,700
FR,D00507,1507,4,8,800
HU,D00508,1508,5,9,900
NL,D00509,1509,6,10,1000
DE,D00510,1510,7,11,1100
FR,D00511,1511,8,12,1200
HU,D00512,1512,9,13,1300
NL,D00513,1513,10,14,1400
DE,D00514,1514,11,15,1500
FR,D00515,1515,12,16,1600
HU,D00516,1516,1,17,1700
NL,D00517,1517,2,18,1800
DE,D00518,1518,3,19,1900
FR,D00519,1519,4,20,2000
HU,D00520,1520,5,21,2100
NL,D00521,1521,6,22,2200
DE,D00522,1522,7,23,2300
FR,D00523,1523,8,24,2400
HU,D00524,1524,9,25,2500
NL,D00525,1525,10,26,2600
DE,D00526,1526,11,27,2700
FR,D00527,1527,12,28,2800
HU,D00528,1528,1,29,2900
NL,D00529,1529,2,30,3000
DE,D00530,1530,3,31,3100
FR,D00531,1531,4,32,3200
HU,D00532,1532,5,33,3300
NL,D00533,1533,6,34,3400
DE,D00534,1534,7,35,3500
FR,D00535,1535,8,36,3600
HU,D00536,1536,9,37,3700
NL,D00537,1537,10,38,3800
DE,D00538,1538,11,39,3900
FR,D00539,1539,12,40,4000
HU,D00540,1540,1,41,4100
NL,D00541,1541,2,42,4200
DE,D00542,1542,3,43,4300
FR,D00543,1543,4,44,4400
HU,D00544,1544,5,45,4500
NL,D00545,1545,6,46,4600
DE,D00546,1546,7,47,4700
FR,D00547,1547,8,48,4800
HU,D00548,1548,9,49,4900
NL,D00549,1549,10,50,5000
DE,D00550,1550,11,1,100
FR,D00551,1551,12,2,200
HU,D00552,1552,1,3,300
NL,D00553,1553,2,4,400
DE,D00554,1554,3,5,500
FR,D00555,1555,4,6,600
HU,D00556,1556,5,7,700
NL,D00557,1557,6,8,800
DE,D00558,1558,7,9,900
FR,D00559,1559,8,10,1000
HU,D00560,1560,9,11,1100
NL,D00561,1561,10,12,1200
DE,D00562,1562,11,13,1300
FR,D00563,1563,12,14,1400
HU,D00564,1564,1,15,1500
NL,D00565,1565,2,16,1600
DE,D00566,1566,3,17,1700
FR,D00567,1567,4,18,1800
HU,D00568,1568,5,19,1900
NL,D00569,1569,6,20,2000
DE,D00570,1570,7,21,2100
FR,D00571,1571,8,22,2200
HU,D00572,1572,9,23,2300
NL,D00573,1573,10,24,2400
DE,D00574,1574,11,25,2500
FR,D00575,1575,12,26,2600
HU,D00576,1576,1,27,2700
NL,D00577,1577,2,28,2800
DE,D00578,1578,3,29,2900
FR,D00579,1579,4,30,3000
HU,D00580,1580,5,31,3100
NL,D00581,1581,6,32,3200
DE,D00582,1582,7,33,3300
FR,D00583,1583,8,34,3400
HU,D00584,1584,9,35,3500
NL,D00585,1585,10,36,3600
DE,D00586,1586,11,37,3700
FR,D00587,1587,12,38,3800
HU,D00588,1588,1,39,3900
NL,D00589,1589,2,40,4000
DE,D00590,1590,3,41,4100
FR,D00591,1591,4,42,4200
HU,D00592,1592,5,43,4300
NL,D00593,1593,6,44,4400
DE,D00594,1594,7,45,4500
FR,D00595,1595,8,46,4600
HU,D00596,1596,9,47,4700
NL,D00597,1597,10,48,4800
DE,D00598,1598,11,49,4900
FR,D00599,1599,12,50,5000
HU,D00600,1600,1,1,100
NL,D00601,1601,2,2,200
DE,D00602,1602,3,3,300
FR,D00603,1603,4,4,400
HU,D00604,1604,5,5,500
NL,D00605,1605,6,6,600
DE,D00606,1606,7,7,700
FR,D00607,1607,8,8,800
HU,D00608,1608,9,9,900
NL,D00609,1609,10,10,1000
DE,D00610,1610,11,11,1100
FR,D00611,1611,12,12,1200
HU,D00612,1612,1,13,1300
NL,D00613,1613,2,14,1400
DE,D00614,1614,3,15,1500
FR,D00615,1615,4,16,1600
HU,D00616,1616,5,17,1700
NL,D00617,1617,6,18,1800
DE,D00618,1618,7,19,1900
FR,D00619,1619,8,20,2000
HU,D00620,1620,9,21,2100
NL,D00621,1621,10,22,2200
DE,D00622,1622,11,23,2300
FR,D00623,1623,12,24,2400
HU,D00624,1624,1,25,2500
NL,D00625,1625,2,26,2600
DE,D00626,1626,3,27,2700
FR,D00627,1627,4,28,2800
HU,D00628,1628,5,29,2900
NL,D00629,1629,6,30,3000
DE,D00630,1630,7,31,3100
FR,D00631,1631,8,32,3200
HU,D00632,1632,9,33,3300
NL,D00633,1633,10,34,3400
DE,D00634,1634,11,35,3500
FR,D00635,1635,12,36,3600
HU,D00636,1636,1,37,3700
NL,D00637,1637,2,38,3800
DE,D00638,1638,3,39,3900
FR,D00639,1639,4,40,4000
HU,D00640,1640,5,41,4100
NL,D00641,1641,6,42,4200
DE,D00642,1642,7,43,4300
FR,D00643,1643,8,44,4400
HU,D00644,1644,9,45,4500
NL,D00645,1645,10,46,4600
DE,D00646,1646,11,47,4700
FR,D00647,1647,12,48,4800
HU,D00648,1648,1,49,4900
NL,D00649,1649,2,50,5000
DE,D00650,1650,3,1,100
FR,D00651,1651,4,2,200
HU,D00652,1652,5,3,300
NL,D00653,1653,6,4,400
DE,D00654,1654,7,5,500
FR,D00655,1655,8,6,600
HU,D00656,1656,9,7,700
NL,D00657,1657,10,8,800
DE,D00658,1658,11,9,900
FR,D00659,1659,12,10,1000
HU,D00660,1660,1,11,1100
NL,D00661,1661,2,12,1200
DE,D00662,1662,3,13,1300
FR,D00663,1663,4,14,1400
HU,D00664,1664,5,15,1500
NL,D00665,1665,6,16,1600
DE,D00666,1666,7,17,1700
FR,D00667,1667,8,18,1800
HU,D00668,1668,9,19,1900
NL,D00669,1669,10,20,2000
DE,D00670,1670,11,21,2100
FR,D00671,1671,12,22,2200
HU,D00672,1672,1,23,2300
NL,D00673,1673,2,24,2400
DE,D00674,1674,3,25,2500
FR,D00675,1675,4,26,2600
HU,D00676,1676,5,27,2700
NL,D00677,1677,6,28,2800
DE,D00678,1678,7,29,2900
FR,D00679,1679,8,30,3000
HU,D00680,1680,9,31,3100
NL,D00681,1681,10,32,3200
DE,D00682,1682,11,33,3300
FR,D00683,1683,12,34,3400
HU,D00684,1684,1,35,3500
NL,D00685,1685,2,36,3600
DE,D00686,1686,3,37,3700
FR,D00687,1687,4,38,3800
HU,D00688,1688,5,39,3900
NL,D00689,1689,6,40,4000
DE,D00690,1690,7,41,4100
FR,D00691,1691,8,42,4200
HU,D00692,1692,9,43,4300
NL,D00693,1693,10,44,4400
DE,D00694,1694,11,45,4500
FR,D00695,1695,12,46,4600
HU,D00696,1696,1,47,4700
NL,D00697,1697,2,48,4800
DE,D00698,1698,3,49,4900
FR,D00699,1699,4,50,5000
HU,D00700,1700,5,1,100
NL,D00701,1701,6,2,200
DE,D00702,1702,7,3,300
FR,D00703,1703,8,4,400
HU,D00704,1704,9,5,500
NL,D00705,1705,10,6,600
DE,D00706,1706,11,7,700
FR,D00707,1707,12,8,800
HU,D00708,1708,1,9,900
NL,D00709,1709,2,10,1000
DE,D00710,1710,3,11,1100
FR,D00711,1711,4,12,1200
HU,D00712,1712,5,13,1300
NL,D00713,1713,6,14,1400
DE,D00714,1714,7,15,1500
FR,D00715,1715,8,16,1600
HU,D00716,1716,9,17,1700
NL,D00717,1717,10,18,1800
DE,D00718,1718,11,19,1900
FR,D00719,1719,12,20,2000
HU,D00720,1720,1,21,2100
NL,D00721,1721,2,22,2200
DE,D00722,1722,3,23,2300
FR,D00723,1723,4,24,2400
HU,D00724,1724,5,25,2500
NL,D00725,1725,6,26,2600
DE,D00726,1726,7,27,2700
FR,D00727,1727,8,28,2800
HU,D00728,1728,9,29,2900
NL,D00729,1729,10,30,3000
DE,D00730,1730,11,31,3100
FR,D00731,1731,12,32,3200
HU,D00732,1732,1,33,3300
NL,D00733,1733,2,34,3400
DE,D00734,1734,3,35,3500
FR,D00735,1735,4,36,3600
HU,D00736,1736,5,37,3700
NL,D00737,1737,6,38,3800
DE,D00738,1738,7,39,3900
FR,D00739,1739,8,40,4000
HU,D00740,1740,9,41,4100
NL,D00741,1741,10,42,4200
DE,D00742,1742,11,43,4300
FR,D00743,1743,12,44,4400
HU,D00744,1744,1,45,4500
NL,D00745,1745,2,46,4600
DE,D00746,1746,3,47,4700
FR,D00747,1747,4,48,4800
HU,D00748,1748,5,49,4900
NL,D00749,1749,6,50,5000
DE,D00750,1750,7,1,100
FR,D00751,1751,8,2,200
HU,D00752,1752,9,3,300
NL,D00753,1753,10,4,400
DE,D00754,1754,11,5,500
FR,D00755,1755,12,6,600
HU,D00756,1756,1,7,700
NL,D00757,1757,2,8,800
DE,D00758,1758,3,9,900
FR,D00759,1759,4,10,1000
HU,D00760,1760,5,11,1100
NL,D00761,1761,6,12,1200
DE,D00762,1762,7,13,1300
FR,D00763,1763,8,14,1400
HU,D00764,1764,9,15,1500
NL,D00765,1765,10,16,1600
DE,D00766,1766,11,17,1700
FR,D00767,1767,12,18,1800
HU,D00768,1768,1,19,1900
NL,D00769,1769,2,20,2000
DE,D00770,1770,3,21,2100
FR,D00771,1771,4,22,2200
HU,D00772,1772,5,23,2300
NL,D00773,1773,6,24,2400
DE,D00774,1774,7,25,2500
FR,D00775,1775,8,26,2600
HU,D00776,1776,9,27,2700
NL,D00777,1777,10,28,2800
DE,D00778,1778,11,29,2900
FR,D00779,1779,12,30,3000
HU,D00780,1780,1,31,3100
NL,D00781,1781,2,32,3200
DE,D00782,1782,3,33,3300
FR,D00783,1783,4,34,3400
HU,D00784,1784,5,35,3500
NL,D00785,1785,6,36,3600
DE,D00786,1786,7,37,3700
FR,D00787,1787,8,38,3800
HU,D00788,1788,9,39,3900
NL,D00789,1789,10,40,4000
DE,D00790,1790,11,41,4100
FR,D00791,1791,12,42,4200
HU,D00792,1792,1,43,4300
NL,D00793,1793,2,44,4400
DE,D00794,1794,3,45,4500
FR,D00795,1795,4,46,4600
HU,D00796,1796,5,47,4700
NL,D00797,1797,6,48,4800
DE,D00798,1798,7,49,4900
FR,D00799,1799,8,50,5000
HU,D00800,1800,9,1,100
NL,D00801,1801,10,2,200
DE,D00802,1802,11,3,300
FR,D00803,1803,12,4,400
HU,D00804,1804,1,5,500
NL,D00805,1805,2,6,600
DE,D00806,1806,3,7,700
FR,D00807,1807,4,8,800
HU,D00808,1808,5,9,900
NL,D00809,1809,6,10,1000
DE,D00810,1810,7,11,1100
FR,D00811,1811,8,12,1200
HU,D00812,1812,9,13,1300
NL,D00813,1813,10,14,1400
DE,D00814,1814,11,15,1500
FR,D00815,1815,12,16,1600
HU,D00816,1816,1,17,1700
NL,D00817,1817,2,18,1800
DE,D00818,1818,3,19,1900
FR,D00819,1819,4,20,2000
HU,D00820,1820,5,21,2100
NL,D00821,1821,6,22,2200
DE,D00822,1822,7,23,2300
FR,D00823,1823,8,24,2400
HU,D00824,1824,9,25,2500
NL,D00825,1825,10,26,2600
DE,D00826,1826,11,27,2700
FR,D00827,1827,12,28,2800
HU,D00828,1828,1,29,2900
